COUNTY,CountPop
Turkana,Turkana
Marsabit,Kisumu
Mandera,Kisii
Wajir,Kitui
West Pokot,Nakuru
Samburu,Machakos
Isiolo,Nyeri
Baringo,Makueni
Keiyo-Marakwet,Nairobi
Trans Nzoia,Kwale
Bungoma,Tana River
Garissa,Kajiado
Uasin Gishu,Kiambu
Kakamega,Nyamira
Laikipia,Baringo
Busia,Embu
Meru,Kakamega
Nandi,Kericho
Siaya,Bungoma
Nakuru,Lamu
Vihiga,Uasin Gishu
Nyandarua,Keiyo-Marakwet
Tharaka,Migori
Kericho,Narok
Kisumu,Nandi
Nyeri,Bomet
Tana River,Busia
Kitui,Kirinyaga
Kirinyaga,Tharaka
Embu,Laikipia
Homa Bay,Homa Bay
Bomet,Kilifi
Nyamira,Samburu
Narok,Nyandarua
Kisii,Murang'a
Murang'a,Siaya
Migori,Mombasa
Kiambu,
Machakos,
Kajiado,
Nairobi,
Makueni,
Lamu,
Kilifi,
Taita Taveta,
Kwale,
Mombasa,
